iter	Logloss
0	0.6680709963
1	0.6483918399
2	0.6297283869
3	0.6135080226
4	0.5974617768
5	0.583576432
6	0.5731558596
7	0.5606755066
8	0.5526333105
9	0.5419914295
10	0.5332098662
11	0.5254968971
12	0.5173492979
13	0.5096370064
14	0.5032826537
15	0.4959489808
16	0.4909091605
17	0.4858122195
18	0.4803359011
19	0.4750458386
20	0.4700627976
21	0.4660621471
22	0.4642565685
23	0.461067257
24	0.457768365
25	0.4534704962
26	0.4507256596
27	0.447528464
28	0.4448616298
29	0.4419323272
30	0.4395745451
31	0.4367313272
32	0.4349607975
33	0.432957491
34	0.4306268507
35	0.4295115687
36	0.4277089686
37	0.4255076521
38	0.4224416128
39	0.420986069
40	0.4194647165
41	0.4184752188
42	0.4170435896
43	0.4149258436
44	0.4135296406
45	0.4121753045
46	0.4110869037
47	0.4099415199
48	0.4093015447
49	0.4083544025
50	0.405961275
51	0.4048022661
52	0.4039843805
53	0.4029326209
54	0.4016219268
55	0.4011495188
56	0.399502393
57	0.3976043898
58	0.3964833708
59	0.3950397096
60	0.3936113183
61	0.3926731788
62	0.3910998966
63	0.3902415849
64	0.3892190048
65	0.3880155182
66	0.3868356288
67	0.3859689911
68	0.3856978984
69	0.3848014821
70	0.3838636734
71	0.382844536
72	0.3827949654
73	0.3817201719
74	0.3799412088
75	0.3785012534
76	0.3772379725
77	0.3757576553
78	0.3753219227
79	0.3744434492
80	0.3737757514
81	0.3728756086
82	0.3717104285
83	0.3704772892
84	0.3696956315
85	0.3693201869
86	0.3684946576
87	0.3678556789
88	0.3672396265
89	0.3666007597
90	0.3659037748
91	0.365642842
92	0.365280564
93	0.3648403344
94	0.3641643147
95	0.3634592505
96	0.3633848317
97	0.3624998259
98	0.3621157952
99	0.3610576844
